Name,Geo Type Name,Geo Join ID,Geo Place Name,Time Period,Start_Date,Data Value
Boiler Emissions- Total SO2 Emissions,UHF42,211,Williamsburg - Bushwick,2013,2013-01-01,0.3
Boiler Emissions- Total SO2 Emissions,UHF42,301,Washington Heights,2013,2013-01-01,51.0
Boiler Emissions- Total SO2 Emissions,UHF42,302,Central Harlem - Morningside Heights,2013,2013-01-01,15.7
Boiler Emissions- Total SO2 Emissions,UHF42,303,East Harlem,2013,2013-01-01,11.6
Boiler Emissions- Total SO2 Emissions,UHF42,304,Upper West Side,2013,2013-01-01,99.7
Boiler Emissions- Total SO2 Emissions,UHF42,305,Upper East Side,2013,2013-01-01,95.0
Boiler Emissions- Total SO2 Emissions,UHF42,306,Chelsea - Clinton,2013,2013-01-01,67.4
Boiler Emissions- Total SO2 Emissions,UHF42,307,Gramercy Park - Murray Hill,2013,2013-01-01,78.8
Boiler Emissions- Total SO2 Emissions,UHF42,308,Greenwich Village - SoHo,2013,2013-01-01,32.9
Boiler Emissions- Total SO2 Emissions,UHF42,309,Union Square - Lower East Side,2013,2013-01-01,24.9
Boiler Emissions- Total SO2 Emissions,UHF42,310,Lower Manhattan,2013,2013-01-01,13.7
Boiler Emissions- Total SO2 Emissions,UHF42,401,Long Island City - Astoria,2013,2013-01-01,6.7
Boiler Emissions- Total SO2 Emissions,UHF42,402,West Queens,2013,2013-01-01,2.3
Boiler Emissions- Total SO2 Emissions,UHF42,403,Flushing - Clearview,2013,2013-01-01,5.1
Boiler Emissions- Total SO2 Emissions,UHF42,404,Bayside - Little Neck,2013,2013-01-01,1.6
Boiler Emissions- Total SO2 Emissions,UHF42,405,Ridgewood - Forest Hills,2013,2013-01-01,2.7
Boiler Emissions- Total SO2 Emissions,UHF42,406,Fresh Meadows,2013,2013-01-01,4.3
Boiler Emissions- Total SO2 Emissions,UHF42,407,Southwest Queens,2013,2013-01-01,0.8
Boiler Emissions- Total SO2 Emissions,UHF42,408,Jamaica,2013,2013-01-01,0.5
Boiler Emissions- Total SO2 Emissions,UHF42,409,Southeast Queens,2013,2013-01-01,0.3
Boiler Emissions- Total SO2 Emissions,UHF42,410,Rockaways,2013,2013-01-01,0.0
Boiler Emissions- Total SO2 Emissions,UHF42,501,Port Richmond,2013,2013-01-01,0.0
Boiler Emissions- Total SO2 Emissions,UHF42,502,Stapleton - St. George,2013,2013-01-01,0.4
Boiler Emissions- Total SO2 Emissions,UHF42,503,Willowbrook,2013,2013-01-01,0.0
Boiler Emissions- Total SO2 Emissions,UHF42,504,South Beach - Tottenville,2013,2013-01-01,0.0
Boiler Emissions- Total SO2 Emissions,Citywide,1,New York City,2013,2013-01-01,6.1
Boiler Emissions- Total SO2 Emissions,Borough,1,Bronx,2013,2013-01-01,10.3
Boiler Emissions- Total SO2 Emissions,Borough,2,Brooklyn,2013,2013-01-01,0.8
Boiler Emissions- Total SO2 Emissions,Borough,3,Manhattan,2013,2013-01-01,50.6
Boiler Emissions- Total SO2 Emissions,Borough,4,Queens,2013,2013-01-01,2.2
Boiler Emissions- Total SO2 Emissions,Borough,5,Staten Island,2013,2013-01-01,0.1
Boiler Emissions- Total PM2.5 Emissions,UHF42,101,Kingsbridge - Riverdale,2013,2013-01-01,2.0
Boiler Emissions- Total PM2.5 Emissions,UHF42,102,Northeast Bronx,2013,2013-01-01,0.3
Boiler Emissions- Total PM2.5 Emissions,UHF42,103,Fordham - Bronx Pk,2013,2013-01-01,3.0
